Fluides Type;REG Dimension ;BOX Dimension;Alpha Max;Alpha Min;Alpha peak;Width;f (alpha max);f (alpha min);f (alpha peak);Right height;Left height;C values
OIL;1.5104;1.7663;2.9;1.43;2.2;1.47;0.18;0.09;1;0.82;0.91;0.09
OIL;1.5454;1.8174;2.58;1.65;2.31;0.93;0.76;0.32;1;0.24;0.68;0.44
OIL;1.5859;1.8132;2.33;1.83;2.33;0.5;1;0.5;1;0;0.5;0.5
OIL;1.5906;1.8202;2.75;1.6;2.3;1.15;0.76;0.5;1;0.24;0.5;0.26
OIL;1.6201;1.7407;1.9;1.52;1.77;0.38;0.89;0.74;1;0.11;0.26;0.15
OIL;1.4621;1.8181;2.9;0.2;1.65;2.7;-0.2;-0.42;1;1.2;1.42;0.22
OIL;1.4661;1.8085;2.9;0.1;1.51;2.8;0.32;0.34;1;0.68;0.66;0.02
OIL;1.4949;1.8061;1.98;1.15;1.2;0.83;0.68;0.51;1;0.32;0.49;0.17
OIL;1.4574;1.7794;1.98;0.47;1.78;1.51;1;-0.27;1;0;1.27;1.27
OIL;1.4193;1.7959;1.7;0.5;1.3;1.2;0.93;0.64;1;0.07;0.36;0.29
OIL;1.5786;1.7881;1.2;-1.4;0.7;2.6;0.8;-2.1;1;0.2;3.1;2.9
OIL;1.6205;1.7774;2.2;0.2;0.8;2;0.02;0.55;1;0.98;0.45;0.53
OIL;1.6567;1.7766;2.1;0.1;0.8;2;-0.2;0.48;1;1.2;0.52;0.68
OIL;1.6512;1.7939;2.4;-0.1;0.8;2.5;-0.84;0.3;1;1.84;0.7;1.14
OIL;1.6484;1.8744;1.5;-0.18;0.51;1.68;-0.2;0.41;1;1.2;0.59;0.61
OIL;1.593;1.7858;1.32;0.18;0.72;1.14;0.52;0.2;1;0.48;0.8;0.32
OIL;1.6029;1.7889;1.21;0.02;0.72;1.19;0.69;0.1;1;0.31;0.9;0.59
OIL;1.5956;1.7877;1.7;0.18;1.1;1.52;0.38;0.02;1;0.62;0.98;0.36
OIL;1.4746;1.7433;1.19;-0.2;1.3;1.39;0;-1.1;1;1;2.1;1.1
OIL;1.3982;1.7559;1.75;0.2;0.9;1.55;0;0.55;1;1;0.45;0.55
OIL;1.5328;1.8598;1.2;-1.1;0.6;2.3;0.75;-1;1;0.25;2;1.75
OIL;1.5765;1.8662;1.2;-1.1;0.7;2.3;0.8;-1.2;1;0.2;2.2;2
OIL;1.5964;1.8687;1;-0.92;0.51;1.92;0.61;-0.9;1;0.39;1.9;1.51
OIL;1.6126;1.8856;1.65;-0.7;0.51;2.35;-0.25;-0.4;1;1.25;1.4;0.15
OIL;1.6098;1.9257;1.41;0;0.6;1.41;0.04;0.72;1;0.96;0.28;0.68
OIL;1.2964;1.9296;5.5;2.3;4;3.2;-0.2;-0.5;1;1.2;1.5;0.3
OIL;1.3089;1.9353;6.1;2.4;5.1;3.7;-0.1;-2.2;1;1.1;3.2;2.1
OIL;1.313;1.9399;5.8;2.1;4.9;3.7;0.35;-2.1;1;0.65;3.1;2.45
OIL;1.312;1.9583;5.8;1.8;4.7;4;0.1;-1.9;1;0.9;2.9;2
OIL;1.2796;1.9202;4.9;1.6;4.2;3.3;0.81;-0.92;1;0.19;1.92;1.73
